ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,escolaridade_desc,total_pessoas,qtd_ficou_em_casa,qtd_reduziu_contato,qtd_vida_normal,qtd_trabalhou,qtd_trabalho_remoto,qtd_sintomatico_trabalhando,pct_ficou_em_casa,pct_reduziu_contato,pct_vida_normal,pct_trabalho_remoto,pct_sintomatico_trabalhando
202011,Novembro/2020,70+,Feminino,Norte,Médio incompleto,33,0,0,0,4,2,0,0.0,0.0,0.0,50.0,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,Fundamental incompleto,6502,0,15,0,56,40,1,0.0,0.23,0.0,71.43,0.02
202011,Novembro/2020,0-17,Feminino,Sudeste,Fundamental completo,196,0,0,0,3,3,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,Sem instrução,3467,0,13,0,0,0,0,0.0,0.37,0.0,0.0,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,Fundamental completo,210,0,0,0,15,12,0,0.0,0.0,0.0,80.0,0.0
202011,Novembro/2020,0-17,Feminino,Sudeste,Médio incompleto,1641,0,12,0,109,111,2,0.0,0.73,0.0,101.83,0.12
202011,Novembro/2020,0-17,Feminino,Sudeste,Superior incompleto,7,0,0,0,1,1,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,Médio completo,54,0,0,0,7,6,0,0.0,0.0,0.0,85.71,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,Superior incompleto,4,0,0,0,3,3,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,Médio incompleto,1577,0,8,0,170,148,3,0.0,0.51,0.0,87.06,0.19
